id,latitude,longitude,outage,estCustAffected,lastUpdateTime,hazardFlag,region,cause,crewCurrentStatus,outage_url,currentEtor,autoEtor
1571772021:676780,38.5996,-120.67501,676780,29,1571762594,0,Somerset,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676780,1571781600,
1571772021:676823,37.65284,-122.44736,676823,1,1571764656,0,South San Francisco,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676823,1571774400,1571774400
1571772021:676811,37.92617,-122.67604,676811,2,1571764212,0,Stinson Beach,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676811,1571788800,
1571772021:676642,37.94396,-121.33162,676642,1,1571756886,0,Stockton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676642,1571788800,
1571772021:676625,37.94133,-121.33269,676625,1,1571754730,0,Stockton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676625,1571788800,
1571772021:676845,36.10824,-119.71184,676845,1,1571768540,0,Stratford,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676845,1571777100,1571777100
1571772021:676714,35.57568,-120.71984,676714,2,1571760554,0,Templeton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676714,1571785200,
1571772021:676758,35.52538,-120.74111,676758,1,1571762098,0,Templeton,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676758,1571774400,1571774400
1571772021:676742,37.67982,-121.27826,676742,2,1571761385,0,Tracy,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676742,1571770800,
1571772021:676619,40.01546,-121.22466,676619,44,1571759936,0,Twain,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676619,1571788800,
1571772021:676886,38.48345,-120.60949,676886,1,1571769769,1,Volcano,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676886,1571782500,1571782500
1571772021:676870,38.2273,-121.45666,676870,1,1571770899,1,Walnut Grove,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676870,1571780700,1571780700
1571772021:676707,39.36289,-120.79618,676707,83,1571760352,0,Washington,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676707,1571778000,
1571772021:676702,39.01359,-121.42356,676702,21,1571764860,0,Wheatland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676702,1571778000,
1571772021:676659,40.98874,-123.63971,676659,2,1571768033,0,Willow Creek,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676659,1571785200,
1571772021:676867,38.53749,-122.79063,676867,1,1571768055,0,Windsor,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676867,1571778000,1571778000
